"Plot","NumSp","Species","Grass","C3","C4","Forb","Legume","Fgset","Fgset2","FgNum_C3C4","FgNum_noC3","Achmi","AmoPet","Andge","Asctu","Koecr","Lesca","Liaas","Luppe","MonSol","Panvi","Petpu","Poapr","Schsc","Sornu","SR.of.C3.Grass.Species.Planted","SR.of.C4.Species.Planted","SR.of.forbs.planted","SR.of.Legumes.Planted","SR.of.Grass.Species.Planted"
26,4,"Agrsm Elyca Petpu Sornu",1,1,1,0,1,"34L","GL",3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
27,16,"Achmi Agrsm Amoca Asctu Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5
28,4,"Lesca Petpu Queel Quema",0,0,0,0,1,"L","L",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
29,1,"Lesca",0,0,0,0,1,"L","L",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Liaas Luppe Monfi Panvi Poapr Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,4,4,2,6
31,1,"Schsc",1,0,1,0,0,"4","G",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33,4,"Agrsm Andge Liaas Petca Petvi",1,1,1,1,1,"34FL","GFL",4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
34,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,4,3,3,6
35,16,"Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,3,4,5
44,4,"Asctu Panvi Petca Petpu Petvi",1,0,1,1,1,"4FL","GFL",3,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1
45,4,"Andge Liaas Petpu Quema",1,0,1,1,1,"4FL","GFL",3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1
