"Plot","NumSp","Species","Grass","C3","C4","Forb","Legume","Fgset","Fgset2","FgNum_C3C4","FgNum_noC3","Achmi","AmoPet","Andge","Asctu","Koecr","Lesca","Liaas","Luppe","MonSol","Panvi","Petpu","Poapr","Schsc","Sornu","SR.of.C3.Grass.Species.Planted","SR.of.C4.Species.Planted","SR.of.forbs.planted","SR.of.Legumes.Planted","SR.of.Grass.Species.Planted"
125,2,"Petpu Schsc",1,0,1,0,1,"4L","GL",2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
129,1,"Liaas",0,0,0,1,0,"F","F",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
130,8,"Achmi Asctu Elyca Liaas Panvi Petpu Quema Schsc",1,1,1,1,1,"34FL","GFL",4,3,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2,3,1,2
133,4,"Lesca Monfi Petca Petvi Schsc Solri",1,0,1,1,1,"4FL","GFL",3,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,1
135,1,"Schsc",1,0,1,0,0,"4","G",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
136,16,"Achmi Agrsm Amoca Andge Asctu Elyca Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,4,4,4,4
137,1,"Amoca",0,0,0,0,1,"L","L",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,4,"Achmi Elyca Koecr Liaas",1,1,0,1,0,"3F","GF",2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,1
139,4,"Agrsm Elyca Koecr Lesca",1,1,0,0,1,"3L","GL",2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
142,1,"Koecr",1,1,0,0,0,"3","G",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
146,8,"Achmi Andge Lesca Monfi Panvi Poapr Queel Quema Solri",1,1,1,1,1,"34FL","GFL",4,3,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,2,2,1,3
149,4,"Monfi Petca Petvi Quema Solri Sornu",1,0,1,1,1,"4FL","GFL",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
156,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Monfi Panvi Petpu Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,4,4,3,5
157,2,"Agrsm Koecr",1,1,0,0,0,"3","G",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
160,16,"Achmi Agrsm Amoca Andge Asctu Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,4,4,5
163,1,"Sornu",1,0,1,0,0,"4","G",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
164,16,"Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,4,3,3,6
165,2,"Poapr Sornu",1,1,1,0,0,"34","G",2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2
167,1,"Liaas",0,0,0,1,0,"F","F",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
168,2,"Andge Koecr",1,1,1,0,0,"34","G",2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2
169,16,"Achmi Agrsm Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,3,4,3,5
170,8,"Achmi Asctu Elyca Koecr Monfi Petca Petpu Petvi Queel Solri",1,1,0,1,1,"3FL","GFL",3,3,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,3,2,1
171,2,"Koecr Luppe",1,1,0,0,1,"3L","GL",2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
174,16,"Achmi Agrsm Amoca Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,4,4,4
175,2,"Luppe Sornu",1,0,1,0,1,"4L","GL",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
176,4,"Agrsm Liaas Panvi Poapr",1,1,1,1,0,"34F","GF",3,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,2
177,8,"Andge Asctu Koecr Liaas Petca Petvi Quema Schsc Sornu",1,1,1,1,1,"34FL","GFL",4,3,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,3,2,1,4
178,8,"Achmi Agrsm Elyca Koecr Liaas Monfi Panvi Schsc Solri",1,1,1,1,0,"34F","GF",3,2,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,2,3,0,3
185,1,"Petpu",0,0,0,0,1,"L","L",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
186,16,"Achmi Agrsm Amoca Asctu Elyca Koecr Lesca Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,3,3,4,5
190,4,"Lesca Liaas Petpu Quema",0,0,0,1,1,"FL","FL",2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0
193,2,"Andge Luppe",1,0,1,0,1,"4L","GL",2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
197,2,"Asctu Panvi",1,0,1,1,0,"4F","GF",2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
199,4,"Luppe Queel Quema Schsc",1,0,1,0,1,"4L","GL",2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
201,4,"Lesca Petpu Queel Sornu",1,0,1,0,1,"4L","GL",2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2,1
202,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Schsc Solri Sornu",1,1,1,1,1,"34FL","GFL",4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6
