"nut","Plot","type","val","extract"
"Calcium",227,"gm2_1994_0.20cm",112.54,"aa"
"Calcium",229,"gm2_1994_0.20cm",87.58,"aa"
"Calcium",230,"gm2_1994_0.20cm",101.19,"aa"
"Calcium",232,"gm2_1994_0.20cm",144.95,"aa"
"Calcium",233,"gm2_1994_0.20cm",108.61,"aa"
"Calcium",234,"gm2_1994_0.20cm",85.85,"aa"
"Calcium",235,"gm2_1994_0.20cm",87.89,"aa"
"Calcium",236,"gm2_1994_0.20cm",82.79,"aa"
"Calcium",237,"gm2_1994_0.20cm",116.6,"aa"
"Calcium",239,"gm2_1994_0.20cm",144.48,"aa"
"Calcium",242,"gm2_1994_0.20cm",101.67,"aa"
"Calcium",253,"gm2_1994_0.20cm",105.66,"aa"
"Calcium",257,"gm2_1994_0.20cm",130.74,"aa"
"Calcium",259,"gm2_1994_0.20cm",73.14,"aa"
"Calcium",265,"gm2_1994_0.20cm",130.71,"aa"
"Calcium",266,"gm2_1994_0.20cm",92.97,"aa"
"Calcium",267,"gm2_1994_0.20cm",118.59,"aa"
"Calcium",268,"gm2_1994_0.20cm",146.15,"aa"
"Calcium",273,"gm2_1994_0.20cm",161.18,"aa"
"Calcium",278,"gm2_1994_0.20cm",128.33,"aa"
"Calcium",280,"gm2_1994_0.20cm",112.61,"aa"
"Calcium",282,"gm2_1994_0.20cm",120.35,"aa"
"Calcium",283,"gm2_1994_0.20cm",115.43,"aa"
"Calcium",286,"gm2_1994_0.20cm",109.32,"aa"
"Calcium",287,"gm2_1994_0.20cm",93.83,"aa"
"Calcium",290,"gm2_1994_0.20cm",90.54,"aa"
"Calcium",291,"gm2_1994_0.20cm",85.81,"aa"
"Calcium",292,"gm2_1994_0.20cm",112.17,"aa"
"Calcium",293,"gm2_1994_0.20cm",136.65,"aa"
"Calcium",299,"gm2_1994_0.20cm",66.78,"aa"
"Calcium",300,"gm2_1994_0.20cm",90.69,"aa"
"Calcium",301,"gm2_1994_0.20cm",116.56,"aa"
"Calcium",302,"gm2_1994_0.20cm",149.78,"aa"
"Calcium",303,"gm2_1994_0.20cm",120.89,"aa"
"Calcium",304,"gm2_1994_0.20cm",145.33,"aa"
"Calcium",307,"gm2_1994_0.20cm",130.06,"aa"
"Calcium",308,"gm2_1994_0.20cm",110.16,"aa"
"Calcium",311,"gm2_1994_0.20cm",124.55,"aa"
"Calcium",313,"gm2_1994_0.20cm",50.72,"aa"
"Calcium",318,"gm2_1994_0.20cm",91.89,"aa"
"Calcium",324,"gm2_1994_0.20cm",124.67,"aa"
"Calcium",325,"gm2_1994_0.20cm",132.2,"aa"
"Calcium",328,"gm2_1994_0.20cm",73.94,"aa"
"Calcium",329,"gm2_1994_0.20cm",92.96,"aa"
"Calcium",330,"gm2_1994_0.20cm",137.65,"aa"
"Calcium",331,"gm2_1994_0.20cm",118.94,"aa"
"Calcium",334,"gm2_1994_0.20cm",50.64,"aa"
"Calcium",335,"gm2_1994_0.20cm",49.47,"aa"
"Calcium",336,"gm2_1994_0.20cm",116.41,"aa"
"Calcium",338,"gm2_1994_0.20cm",97.09,"aa"
"Calcium",339,"gm2_1994_0.20cm",104.79,"aa"
"Calcium",342,"gm2_1994_0.20cm",105.15,"aa"
"Calcium",2,"gm2_2017_0.20cm",108.34,"aa"
