"Plot","NumSp","nut","type","val.g","mono","diff"
16,1,"Calcium","Root.0.30cm",3.24,4.1471875,-21.8747645241504
20,1,"Nitrogen","Abv",5.77,1.2978125,344.594269202986
20,1,"Potassium","Abv",0.82,0.8584375,-4.47761194029851
20,1,"Magnesium","Abv",0.62,0.3021875,105.17063081696
20,1,"Calcium","Abv",4.71,1.108125,325.042301184433
20,1,"Nitrogen","Root.0.30cm",9.81,4.388125,123.557897735365
20,1,"Potassium","Root.0.30cm",1.73,1.6984375,1.85832566697332
20,1,"Magnesium","Root.0.30cm",2.43,0.9275,161.99460916442
20,1,"Calcium","Root.0.30cm",7.46,4.1471875,79.8809434104438
22,8,"Nitrogen","Abv",3.71,1.2978125,185.865639296894
22,8,"Potassium","Abv",3.32,0.8584375,286.749180924645
22,8,"Magnesium","Abv",0.9,0.3021875,197.828335056877
22,8,"Calcium","Abv",3.23,1.108125,191.483361534123
22,8,"Nitrogen","Root.0.30cm",4.37,4.388125,-0.413046574562017
22,8,"Potassium","Root.0.30cm",1.73,1.6984375,1.85832566697332
22,8,"Magnesium","Root.0.30cm",0.91,0.9275,-1.88679245283018
22,8,"Calcium","Root.0.30cm",4.66,4.1471875,12.3653078140306
24,4,"Nitrogen","Abv",0.8,1.2978125,-38.3578136287021
24,4,"Potassium","Abv",0.7,0.8584375,-18.4564979978158
24,4,"Magnesium","Abv",0.21,0.3021875,-30.5067218200621
24,4,"Calcium","Abv",0.68,1.108125,-38.6350817822899
24,4,"Nitrogen","Root.0.30cm",2.88,4.388125,-34.3683236006267
24,4,"Potassium","Root.0.30cm",0.91,1.6984375,-46.4213431462741
24,4,"Magnesium","Root.0.30cm",0.71,0.9275,-23.4501347708895
24,4,"Calcium","Root.0.30cm",2.73,4.1471875,-34.1722552934971
26,4,"Nitrogen","Abv",1.84,1.2978125,41.7770286539851
26,4,"Potassium","Abv",1.56,0.8584375,81.7255187477248
26,4,"Magnesium","Abv",0.38,0.3021875,25.7497414684592
26,4,"Calcium","Abv",1.47,1.108125,32.6565143824027
26,4,"Nitrogen","Root.0.30cm",7.56,4.388125,72.2831505483549
26,4,"Potassium","Root.0.30cm",2.82,1.6984375,66.0349586016559
26,4,"Magnesium","Root.0.30cm",1.61,0.9275,73.5849056603774
26,4,"Calcium","Root.0.30cm",9.68,4.1471875,133.4111973476
27,16,"Nitrogen","Abv",2.46,1.2978125,89.5497230917409
27,16,"Potassium","Abv",2.94,0.8584375,242.482708409174
27,16,"Magnesium","Abv",0.62,0.3021875,105.17063081696
27,16,"Calcium","Abv",2.71,1.108125,144.557247602933
27,16,"Nitrogen","Root.0.30cm",9.91,4.388125,125.836775388121
27,16,"Potassium","Root.0.30cm",4.37,1.6984375,157.295308187673
27,16,"Magnesium","Root.0.30cm",2.12,0.9275,128.571428571429
27,16,"Calcium","Root.0.30cm",17.47,4.1471875,321.249340667621
28,4,"Nitrogen","Abv",2.68,1.2978125,106.501324343848
28,4,"Potassium","Abv",1.13,0.8584375,31.6345103749545
28,4,"Magnesium","Abv",0.42,0.3021875,38.9865563598759
28,4,"Calcium","Abv",1.85,1.108125,66.9486745628878
28,4,"Nitrogen","Root.0.30cm",7.76,4.388125,76.840905853867
28,4,"Potassium","Root.0.30cm",1.84,1.6984375,8.33486660533579
28,4,"Magnesium","Root.0.30cm",1.01,0.9275,8.89487870619946
28,4,"Calcium","Root.0.30cm",5.87,4.1471875,41.5417074824806
29,1,"Nitrogen","Abv",0.77,1.2978125,-40.6693956176258
29,1,"Potassium","Abv",0.38,0.8584375,-55.7335274845286
29,1,"Magnesium","Abv",0.19,0.3021875,-37.1251292657704
29,1,"Calcium","Abv",0.44,1.108125,-60.2932882120699
29,1,"Nitrogen","Root.0.30cm",3.23,4.388125,-26.3922518159806
29,1,"Potassium","Root.0.30cm",0.68,1.6984375,-59.9632014719411
29,1,"Magnesium","Root.0.30cm",0.49,0.9275,-47.1698113207547
29,1,"Calcium","Root.0.30cm",2.74,4.1471875,-33.9311280235099
30,16,"Nitrogen","Abv",2.96,1.2978125,128.076089573802
30,16,"Potassium","Abv",3.41,0.8584375,297.233345467783
30,16,"Magnesium","Abv",0.59,0.3021875,95.2430196483971
30,16,"Calcium","Abv",2.71,1.108125,144.557247602933
30,16,"Nitrogen","Root.0.30cm",7.66,4.388125,74.562028201111
30,16,"Potassium","Root.0.30cm",4.51,1.6984375,165.538178472861
30,16,"Magnesium","Root.0.30cm",1.78,0.9275,91.9137466307278
30,16,"Calcium","Root.0.30cm",6.84,4.1471875,64.931052671238
31,1,"Nitrogen","Abv",0.36,1.2978125,-72.261016132916
31,1,"Potassium","Abv",0.35,0.8584375,-59.2282489989079
31,1,"Magnesium","Abv",0.06,0.3021875,-80.1447776628749
31,1,"Calcium","Abv",0.3,1.108125,-72.927241962775
31,1,"Nitrogen","Root.0.30cm",5.61,4.388125,27.8450363196126
31,1,"Potassium","Root.0.30cm",1.62,1.6984375,-4.61821527138914
31,1,"Magnesium","Root.0.30cm",1.33,0.9275,43.3962264150943
31,1,"Calcium","Root.0.30cm",5.52,4.1471875,33.1022530329289
33,4,"Nitrogen","Abv",2.2,1.2978125,69.5160125210691
33,4,"Potassium","Abv",2.11,0.8584375,145.795413178012
33,4,"Magnesium","Abv",0.51,0.3021875,68.7693898655636
33,4,"Calcium","Abv",1.92,1.108125,73.2656514382403
33,4,"Nitrogen","Root.0.30cm",5.16,4.388125,17.5900868822105
33,4,"Potassium","Root.0.30cm",3.59,1.6984375,111.370745170193
33,4,"Magnesium","Root.0.30cm",1.35,0.9275,45.5525606469003
33,4,"Calcium","Root.0.30cm",6.17,4.1471875,48.7755255820963
34,16,"Nitrogen","Abv",2.61,1.2978125,101.107633036359
34,16,"Potassium","Abv",2.94,0.8584375,242.482708409174
34,16,"Magnesium","Abv",0.46,0.3021875,52.2233712512927
34,16,"Calcium","Abv",1.88,1.108125,69.6559503666103
34,16,"Nitrogen","Root.0.30cm",6.49,4.388125,47.8991596638656
34,16,"Potassium","Root.0.30cm",4.07,1.6984375,139.632014719411
34,16,"Magnesium","Root.0.30cm",1.43,0.9275,54.177897574124
34,16,"Calcium","Root.0.30cm",6.05,4.1471875,45.88199834225
35,16,"Nitrogen","Abv",2.36,1.2978125,81.8444497953287
35,16,"Potassium","Abv",2.51,0.8584375,192.391700036403
35,16,"Magnesium","Abv",0.56,0.3021875,85.3154084798346
35,16,"Calcium","Abv",2.32,1.108125,109.36266215454
35,16,"Nitrogen","Root.0.30cm",8.8,4.388125,100.54123344253
35,16,"Potassium","Root.0.30cm",4.63,1.6984375,172.603495860166
35,16,"Magnesium","Root.0.30cm",1.51,0.9275,62.8032345013477
35,16,"Calcium","Root.0.30cm",13.55,4.1471875,226.727450832643
44,4,"Nitrogen","Abv",2.34,1.2978125,80.3033951360462
44,4,"Potassium","Abv",1.52,0.8584375,77.0658900618857
44,4,"Magnesium","Abv",0.58,0.3021875,91.9338159255429
44,4,"Calcium","Abv",1.93,1.108125,74.1680767061478
44,4,"Nitrogen","Root.0.30cm",6.12,4.388125,39.4673123486683
44,4,"Potassium","Root.0.30cm",3.34,1.6984375,96.6513339466421
44,4,"Magnesium","Root.0.30cm",1.2,0.9275,29.3800539083558
44,4,"Calcium","Root.0.30cm",6.12,4.1471875,47.5698892321603
45,4,"Nitrogen","Abv",1.85,1.2978125,42.5475559836263
45,4,"Potassium","Abv",2.02,0.8584375,135.311248634874
45,4,"Magnesium","Abv",0.7,0.3021875,131.644260599793
45,4,"Calcium","Abv",2.23,1.108125,101.240834743373
45,4,"Nitrogen","Root.0.30cm",5.35,4.388125,21.9199544224469
45,4,"Potassium","Root.0.30cm",5.35,1.6984375,214.995400183993
45,4,"Magnesium","Root.0.30cm",1.82,0.9275,96.2264150943396
45,4,"Calcium","Root.0.30cm",8.55,4.1471875,106.163815839048
46,16,"Nitrogen","Abv",3.36,1.2978125,158.897182759451
46,16,"Potassium","Abv",3.72,0.8584375,333.345467783036
46,16,"Magnesium","Abv",0.62,0.3021875,105.17063081696
46,16,"Calcium","Abv",2.8,1.108125,152.6790750141
46,16,"Nitrogen","Root.0.30cm",7.46,4.388125,70.0042728955989
46,16,"Potassium","Root.0.30cm",3.78,1.6984375,122.557497700092
46,16,"Magnesium","Root.0.30cm",1.49,0.9275,60.6469002695418
