"Nutrient","Plot","NumSp","unit","0.20cm_1994","0.20cm_2017","20.40cm_2017","Bulk.Density.g.cm3_0.20cm_1994","Bulk.Density.g.cm3_0.20cm_2017","Bulk.Density.g.cm3_20.40cm_2017","bd.pred","Depth_add_cm","gm2_1994_0.20cm","gm2_2017_u","gm2_2017_add","gm2_2017_0.20cm"
"Calcium",82,16,"mgX.kgSoil",251.5,468.26,302.29,1.48,1.42,1.66,"predicted",0.72289156626506,74.444,132.98584,3.62748,136.61332
"Calcium",83,1,"mgX.kgSoil",332.99,602.33,404.71,1.44,1.47,1.62,"measured",-0.408163265306122,95.90112,177.08502,-3.61398,173.47104
"Calcium",87,1,"mgX.kgSoil",357.52,398.6,340.97,1.47,1.41,1.67,"measured",0.718562874251497,105.11088,112.4052,4.09164,116.49684
"Calcium",89,16,"mgX.kgSoil",403.46,586.61,410.29,1.44,1.38,1.63,"predicted",0.736196319018405,116.19648,161.90436,4.92348,166.82784
"Calcium",92,1,"mgX.kgSoil",522.48,503.07,432.84,1.43,1.38,1.63,"predicted",0.613496932515337,149.42928,138.84732,4.3284,143.17572
"Calcium",93,4,"mgX.kgSoil",399.23,628.68,407.87,1.48,1.26,1.53,"measured",2.87581699346405,118.17208,158.42736,17.94628,176.37364
"Calcium",94,1,"mgX.kgSoil",372.75,412.22,286.62,1.44,1.36,1.66,"measured",0.963855421686747,107.352,112.12384,4.58592,116.70976
"Calcium",98,8,"mgX.kgSoil",383.84,483.23,335.52,1.43,1.37,1.66,"measured",0.72289156626506,109.77824,132.40502,4.02624,136.43126
"Calcium",104,8,"mgX.kgSoil",381.44,602.49,327.95,1.45,1.38,1.67,"measured",0.838323353293413,110.6176,166.28724,4.5913,170.87854
"Calcium",107,16,"mgX.kgSoil",299.93,406.97,305.36,1.5,1.44,1.68,"predicted",0.714285714285714,89.979,117.20736,3.66432,120.87168
"Calcium",108,16,"mgX.kgSoil",288.01,560.68,359.89,1.46,1.41,1.65,"predicted",0.606060606060606,84.09892,158.11176,3.5989,161.71066
"Calcium",109,1,"mgX.kgSoil",278.63,350.33,353.02,1.48,1.54,1.85,"measured",-0.779220779220779,82.47448,107.90164,-4.20396,103.69768
"Calcium",110,4,"mgX.kgSoil",232.12,449.26,278.29,1.48,1.35,1.62,"measured",1.60493827160494,68.70752,121.3002,7.23554,128.53574
"Calcium",111,8,"mgX.kgSoil",376.36,472.99,311.68,1.45,1.41,1.65,"predicted",0.484848484848485,109.1444,133.38318,2.49344,135.87662
"Calcium",115,8,"mgX.kgSoil",409.39,398.45,372.22,1.47,1.45,1.69,"predicted",0.236686390532544,120.36066,115.5505,1.48888,117.03938
"Calcium",117,2,"mgX.kgSoil",270.18,481.62,255.04,1.48,1.39,1.69,"measured",1.06508875739645,79.97328,133.89036,4.59072,138.48108
"Calcium",118,8,"mgX.kgSoil",333.03,374.23,330.35,1.46,1.5,1.75,"measured",-0.533333333333333,97.24476,112.269,-2.99384,109.27516
"Calcium",125,2,"mgX.kgSoil",424.56,514.26,384.49,1.44,1.49,1.71,"measured",-0.671140939597315,122.27328,153.24948,-5.1426,148.10688
"Calcium",129,1,"mgX.kgSoil",406.42,489.93,491.87,1.43,1.55,1.71,"measured",-1.54838709677419,116.23612,151.8783,-11.75832,140.11998
"Calcium",130,8,"mgX.kgSoil",413.94,517.27,339.96,1.38,1.46,1.73,"measured",-1.0958904109589,114.24744,151.04284,-8.27632,142.76652
"Calcium",133,4,"mgX.kgSoil",336.23,392.17,264.05,1.49,1.36,1.68,"measured",1.54761904761905,100.19654,106.67024,6.8653,113.53554
"Calcium",135,1,"mgX.kgSoil",355.61,357.45,330.25,1.45,1.51,1.72,"measured",-0.794701986754967,103.1269,107.9499,-4.2894,103.6605
"Calcium",136,16,"mgX.kgSoil",405.98,587.43,383.92,1.45,1.41,1.65,"predicted",0.484848484848485,117.7342,165.65526,3.07136,168.72662
"Calcium",137,1,"mgX.kgSoil",416.44,483.14,362.01,1.45,1.34,1.91,"measured",1.15183246073298,120.7676,129.48152,7.96422,137.44574
"Calcium",138,4,"mgX.kgSoil",460.27,515.3,519.26,1.42,1.39,1.59,"measured",0.377358490566038,130.71668,143.2534,3.11556,146.36896
"Calcium",139,4,"mgX.kgSoil",386.43,481.78,428.67,1.44,1.38,1.63,"predicted",0.736196319018405,111.29184,132.97128,5.14404,138.11532
