"Plot","NumSp","Species","Fgset","Fgset2","soil_diffgm2_0.20cm_Calcium_aa","soil_diffgm2_0.20cm_Carbon_ea","soil_diffgm2_0.20cm_CEC_aa","soil_diffgm2_0.20cm_Magnesium_aa","soil_diffgm2_0.20cm_Nitrogen_ea","soil_diffgm2_0.20cm_pH_1:1w","soil_diffgm2_0.20cm_Phosphorus_bray","soil_diffgm2_0.20cm_Potassium_aa","gm2_1994_0.20cm_Calcium_aa","gm2_1994_0.20cm_Carbon_ea","gm2_1994_0.20cm_CEC_aa","gm2_1994_0.20cm_Magnesium_aa","gm2_1994_0.20cm_Nitrogen_ea","gm2_1994_0.20cm_pH_1:1w","gm2_1994_0.20cm_Phosphorus_bray","gm2_1994_0.20cm_Potassium_aa","gm2_2017_0.20cm_Calcium_aa","gm2_2017_0.20cm_Carbon_ea","gm2_2017_0.20cm_CEC_aa","gm2_2017_0.20cm_Magnesium_aa","gm2_2017_0.20cm_Nitrogen_ea","gm2_2017_0.20cm_pH_1:1w","gm2_2017_0.20cm_Phosphorus_bray","gm2_2017_0.20cm_Potassium_aa","AbvBioAnnProd.2015.2017","Root030cm.2015.2017","TotalProd.2015.2017","Nitrogen_gm2_Abv","Phosphorus_gm2_Abv","Potassium_gm2_Abv","Magnesium_gm2_Abv","Calcium_gm2_Abv","Nitrogen_gm2_Root.0.30cm","Phosphorus_gm2_Root.0.30cm","Potassium_gm2_Root.0.30cm","Magnesium_gm2_Root.0.30cm","Calcium_gm2_Root.0.30cm","Calcium_total.soil.plant.g.m2","Magnesium_total.soil.plant.g.m2","Nitrogen_total.soil.plant.g.m2","Phosphorus_total.soil.plant.g.m2","Potassium_total.soil.plant.g.m2"
34,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",41.28,913.12,1.19,12.92,56.93,0.8,0.48,8.34,98.74,1134.84,2.05,9.51,111.72,5.3,9.11,8.19,140.02,2047.95,3.24,22.43,168.65,6.1,9.59,16.53,257.97,1100.83,1358.8,2.61,0.49,2.94,0.46,1.88,6.49,1.32,4.07,1.43,6.05,49.21,14.81,66.03,2.29,15.35
35,16,"Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri Sornu","34FL","GFL",73.29,902.28,1.58,11.05,64.97,1,-3.5,4.22,97.09,1205.96,2.29,18.04,116.8,5.4,10.22,9.37,170.38,2108.24,3.87,29.09,181.77,6.4,6.72,13.6,209.18,1158.44,1367.62,2.36,0.36,2.51,0.56,2.32,8.8,1.39,4.63,1.51,13.55,89.16,13.12,76.13,-1.75,11.36
44,4,"Asctu Panvi Petca Petpu Petvi","4FL","GFL",16.18,448.22,0.53,8.63,23.36,0.7,-2.63,1.78,109.8,1258.52,2.24,9.25,122.64,5.5,11.39,8.03,125.98,1706.74,2.77,17.89,146,6.2,8.76,9.81,214.51,926.64,1141.16,2.34,0.45,1.52,0.58,1.93,6.12,1.11,3.34,1.2,6.12,24.23,10.41,31.82,-1.07,6.64
45,4,"Andge Liaas Petpu Quema","4FL","GFL",43.44,529.35,0.89,5.93,30.77,0.9,-2.35,-0.21,70.67,828,1.56,10.21,81,5.1,14.4,8.2,114.12,1357.35,2.45,16.14,111.78,6,12.05,7.99,189.05,1069.12,1258.17,1.85,0.26,2.02,0.7,2.23,5.35,1.28,5.35,1.82,8.55,54.22,8.45,37.97,-0.81,7.16
46,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri","34FL","GFL",65.45,594.23,1.53,12.75,37.61,1.1,-1.49,5.21,78.53,1126.02,1.69,8.43,108.78,5.1,11.47,8.93,143.98,1720.25,3.22,21.18,146.39,6.2,9.98,14.14,326.02,1146.96,1472.97,3.36,0.68,3.72,0.62,2.8,7.46,1.38,3.78,1.49,7.68,75.93,14.86,48.43,0.57,12.71
48,2,"Koecr Lesca","3L","GL",35.27,500.24,0.8,8.6,36.26,0.7,-2.07,-2.72,73.29,1021.2,1.67,10.48,97.68,5.2,17.17,12.14,108.56,1521.44,2.47,19.09,133.94,5.9,15.1,9.42,147.82,432.97,580.79,2.53,0.33,0.99,0.3,1.3,5.28,0.95,1.26,0.69,3.72,40.29,9.59,44.07,-0.79,-0.47
50,8,"Achmi Elyca Koecr Lesca Petca Petpu Petvi Poapr Quema","3FL","GFL",3.99,262.94,0.16,-1.88,22.88,0.3,-2.26,0.12,130.18,896.98,3.01,25.88,83.44,5.9,13.41,10.03,134.17,1159.92,3.17,24,106.32,6.2,11.15,10.15,172.92,619.62,792.54,2.35,0.45,1.44,0.43,1.5,7.68,1.24,1.8,1.12,10.04,15.53,-0.33,32.91,-0.57,3.36
53,4,"Lesca Poapr Quema Sornu","34L","GL",16.1,471.46,0.4,4.3,35.8,0.6,-4.1,-0.46,113.42,1033.04,2.56,19.47,94.72,5.6,14.5,9.35,129.52,1504.5,2.96,23.77,130.52,6.2,10.4,8.9,133.67,577.62,711.29,1.36,0.24,1.07,0.29,1.02,4.85,0.75,1.56,0.69,5.03,22.15,5.28,42.01,-3.11,2.17
56,2,"Luppe Schsc","4L","GL",21.21,745.14,0.44,0.5,56.82,0.4,0.84,3.15,126.48,1041.92,2.94,24.44,100.64,5.9,11.54,11.33,147.7,1787.06,3.38,24.95,157.46,6.3,12.38,14.49,162.46,1090.93,1253.4,1.53,0.34,1.45,0.36,1.07,8.84,1.42,3.82,1.75,8.4,30.68,2.61,67.19,2.6,8.42
57,8,"Achmi Agrsm Koecr Lesca Monfi Petca Petvi Poapr Schsc Solri","34FL","GFL",25.54,387.16,0.57,4.18,18.31,0.9,-2.68,1.38,104.8,1096.62,2.42,18.77,108.78,5.3,14.41,9.14,130.33,1483.79,2.99,22.95,127.09,6.2,11.72,10.52,303.71,1097.27,1400.98,3.74,0.58,2.58,0.76,2.49,9.44,1.54,3.95,1.76,14.92,42.95,6.7,31.49,-0.56,7.91
58,4,"Andge Monfi Poapr Solri Sornu","34F","GF",9.05,495.21,0.07,-2.17,39.93,0.3,-2.72,-2.64,96.71,771,2.32,21.65,72,5.8,12.9,9.98,105.76,1266.21,2.39,19.48,111.93,6.1,10.18,7.35,148.11,705.72,853.83,1.2,0.24,2.1,0.43,1.72,3.81,0.71,2.75,0.92,6.35,17.12,-0.82,44.94,-1.77,2.21
62,4,"Elyca Lesca Petca Petvi Quema","3L","GL",30.27,339.51,0.58,1.6,26.01,0.4,-1.24,2.1,105.73,971.48,2.5,22.76,92.38,5.8,12.81,8.77,136,1310.99,3.08,24.37,118.39,6.2,11.57,10.87,156.87,522.73,679.6,2.24,0.33,1.29,0.39,1.36,5.59,0.89,1.73,0.94,6.27,37.9,2.93,33.84,-0.02,5.12
67,8,"Agrsm Koecr Luppe Monfi Petca Petvi Queel Quema Solri Sornu","34FL","GFL",68.26,892.35,1.67,14.23,69.73,1.2,-2.09,7.12,81.39,1024.16,1.75,9.56,91.76,5,17.76,9.15,149.66,1916.51,3.42,23.79,161.49,6.2,15.67,16.27,340.9,1303.17,1644.07,3.27,0.61,4.7,0.82,3.68,9.51,1.82,5.99,2.35,14.73,86.67,17.4,82.51,0.34,17.81
68,16,"Achmi Agrsm Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",44.59,865.98,1.15,11.21,57.8,0.9,-1.21,5.93,87.02,1202.46,1.89,10.19,114.66,5.1,13.82,8.94,131.61,2068.44,3.04,21.4,172.46,6,12.61,14.87,321.18,926.7,1247.88,2.92,0.55,4.5,0.77,3.28,7.32,1.3,3.98,1.11,6.76,54.63,13.09,68.04,0.64,14.41
69,1,"Achmi","F","F",-3.44,121.36,0.04,4.88,0,0.4,-1.78,-2.83,101.32,997.52,2.07,9.13,97.68,5.3,14.21,8.6,97.88,1118.88,2.11,14.01,97.68,5.7,12.43,5.77,54.56,391.41,445.97,0.81,0.15,0.53,0.12,0.28,3.91,0.55,0.78,0.55,2.39,-0.77,5.55,4.72,-1.08,-1.52
70,4,"Andge Asctu Luppe Schsc","4FL","GFL",78.76,966.34,1.89,14.92,68.91,1.2,-0.88,7.64,79.14,1128.96,1.71,9.14,105.84,4.9,14.11,7.55,157.9,2095.3,3.6,24.06,174.75,6.1,13.23,15.19,257.02,1264.04,1521.05,2.36,0.54,2.39,0.46,2.03,5.06,1.26,4.42,1.14,6.57,87.36,16.52,76.33,0.92,14.45
74,8,"Achmi Agrsm Asctu Elyca Koecr Petca Petvi Quema Sornu","34FL","GFL",38.22,846.21,0.91,7.22,55.15,0.7,-0.79,0.64,92.72,1255.6,2.23,18.13,116.8,5.4,10.8,11.76,130.95,2101.81,3.14,25.35,171.95,6.1,10.01,12.4,253.3,1005.7,1259.01,2.76,0.41,2.05,0.56,2,7.24,1.21,3.12,1.51,15.59,55.81,9.29,65.15,0.83,5.81
75,2,"Asctu Panvi","4F","GF",7.83,120.34,0.1,-1.12,0.65,0.4,-0.9,0.28,99.5,1167.18,2.32,19.36,111.72,5.6,8.23,7.25,107.34,1287.52,2.42,18.24,112.37,6,7.33,7.53,124.03,737.86,861.9,1.1,0.19,0.68,0.33,0.66,3.25,0.81,2.73,1.11,3.84,12.33,0.32,5,0.1,3.69
81,8,"Achmi Agrsm Elyca Lesca Liaas Petpu Poapr Schsc","34FL","GFL",31.61,720.08,0.8,8.87,57.25,0.7,-1.03,2.28,71.11,1006.4,1.51,7.45,97.68,5,9.18,7.19,102.72,1726.48,2.31,16.31,154.93,5.7,8.14,9.47,240.04,1004.29,1244.32,2.52,0.29,2.3,0.7,2.66,8.03,1.31,3.41,1.31,8.94,43.21,10.88,67.8,0.57,7.99
82,16,"Achmi Amoca Andge Asctu Elyca Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",62.17,712.09,1.52,13.02,50.58,1,-0.01,8.43,74.44,1024.16,1.59,8.55,97.68,5.1,13.62,7.27,136.61,1736.25,3.11,21.57,148.26,6.1,13.6,15.7,284.02,797.78,1081.79,2.95,0.48,3.81,0.68,2.9,4.47,0.96,2.47,0.8,4.63,69.7,14.5,58,1.43,14.71
83,1,"Luppe","L","L",77.57,200.16,1.74,14.24,15.12,1,-3.74,-1.01,95.9,1460.16,2.09,11.02,132.48,5.1,14.69,9.01,173.47,1660.32,3.83,25.26,147.6,6.1,10.94,8,86.73,251.99,338.72,1.68,0.36,1.05,0.42,0.88,2.97,0.48,0.71,0.45,2.27,80.72,15.11,19.77,-2.9,0.75
87,1,"Sornu","4","G",11.39,485.7,0.22,1.97,32.79,0.6,-3.48,-3.92,105.11,1123.08,2.54,21.7,102.9,5.6,19.11,12.97,116.5,1608.78,2.76,23.67,135.69,6.2,15.63,9.04,56.93,333.27,390.2,0.54,0.09,0.35,0.1,0.31,1.97,0.43,1.03,0.43,1.67,13.37,2.5,35.3,-2.96,-2.54
89,16,"Achmi Agrsm Amoca Andge Asctu Elyca Koecr Liaas Luppe Panvi Petpu Poapr Queel Quema Schsc Sornu","34FL","GFL",50.63,721.26,1.24,10.09,39.66,0.9,-2.92,3.35,116.2,1480.32,2.74,20.97,132.48,5.4,15.55,11.19,166.83,2201.58,3.98,31.06,172.14,6.3,12.64,14.55,315.49,1043.25,1358.74,3.75,0.63,3.57,0.76,3.25,7.3,1.25,3.55,1.56,7.72,61.6,12.41,50.71,-1.04,10.47
92,1,"Sornu","4","G",-6.25,591.01,-0.11,-0.82,26.46,0.2,-1.37,1.23,149.43,1578.72,3.42,24.07,145.86,5.6,19.16,9.93,143.18,2169.74,3.31,23.25,172.32,5.8,17.79,11.16,99.94,643.99,743.93,0.93,0.18,0.91,0.17,0.64,2.7,0.77,1.8,0.77,3.54,-2.07,0.12,30.09,-0.42,3.94
93,4,"Agrsm Koecr Luppe Petpu","3L","GL",58.2,1041.28,1.38,7.57,91.85,0.7,-6.49,1.47,118.17,1018.24,2.8,24.02,100.64,5.5,22.5,13.37,176.37,2059.52,4.18,31.59,192.49,6.2,16.01,14.85,285.88,1166.69,1452.57,4.2,0.71,2.66,0.77,3.57,11.08,2.1,4.2,1.75,19.25,81.02,10.09,107.13,-3.68,8.33
94,1,"Lesca","L","L",9.36,-63.4,0.18,0.55,-11.08,0.5,-2.1,-2.66,107.35,1477.44,2.52,18.88,146.88,5.6,12.1,9.79,116.71,1414.04,2.7,19.43,135.8,6.1,10,7.13,110.87,354.87,465.74,2.07,0.23,0.57,0.28,1.25,5.39,0.89,1.31,0.75,4.05,14.66,1.58,-3.62,-0.98,-0.78
98,8,"Achmi Agrsm Andge Koecr Luppe Panvi Poapr Queel","34FL","GFL",26.65,206.63,0.64,4.31,12.04,0.8,-1.99,2.75,109.78,1604.46,2.63,20.28,154.44,5.4,15.16,11.25,136.43,1811.09,3.27,24.59,166.48,6.2,13.17,13.99,212,1444.81,1656.82,2.01,0.51,2.23,0.47,1.44,7.51,1.44,5.2,1.73,6.65,34.74,6.51,21.56,-0.04,10.18
104,8,"Achmi Elyca Koecr Liaas Luppe Petpu Queel Schsc","34FL","GFL",60.26,547.32,1.41,9.05,39.75,1,-1.89,6.07,110.62,1357.2,2.59,19.67,130.5,5.4,16.82,10.81,170.88,1904.52,4,28.72,170.26,6.4,14.93,16.88,232.8,1083,1315.8,2.89,0.47,2.23,0.54,2.37,10.72,2.06,5.2,1.84,18.19,80.82,11.43,53.36,0.64,13.5
107,16,"Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri","34FL","GFL",30.89,706.68,0.85,9.69,52.44,0.7,2.05,5.55,89.98,795,1.8,7.68,87,5.4,12.9,7.29,120.87,1501.68,2.65,17.37,139.44,6.1,14.95,12.84,272.53,1078.78,1351.32,3.03,0.49,2.81,0.6,2.34,7.23,1.4,3.56,1.62,7.12,40.35,11.91,62.7,3.94,11.92
108,16,"Achmi Agrsm Amoca Andge Elyca Koecr Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu","34FL","GFL",77.61,613.34,1.92,16.94,33.77,1.2,-3.79,9.4,84.1,1241,1.81,9.65,122.64,5,15.18,6.51,161.71,1854.35,3.73,26.58,156.41,6.2,11.4,15.91,402.23,1550.43,1952.66,4.5,0.84,5.39,1.05,4.3,10.08,2.02,6.98,2.02,10.08,91.99,20.01,48.35,-0.93,21.77
109,1,"Andge","4","G",21.22,233.1,0.5,5.09,9.62,0.9,-2.37,0.14,82.47,1036,1.77,9.7,103.6,5,11.84,8.68,103.7,1269.1,2.27,14.79,113.22,5.9,9.47,8.83,64.68,674.69,739.38,0.62,0.15,0.53,0.13,0.42,2.09,0.54,1.28,0.61,2.09,23.73,5.83,12.33,-1.68,1.95
110,4,"Elyca Lesca Luppe Panvi","34L","GL",59.83,888.47,1.41,10.73,70.04,0.9,-2.82,2,68.71,982.72,1.53,8.66,103.6,5.1,10.36,10.15,128.54,1871.19,2.94,19.39,173.64,6,7.54,12.14,256.84,1178.57,1435.42,2.7,0.46,2.36,0.54,1.72,6.95,1.41,4.36,1.53,6.13,67.68,12.8,79.69,-0.95,8.72
111,8,"Achmi Agrsm Lesca Monfi Petca Petvi Poapr Queel Quema Solri","3FL","GFL",26.73,499.98,0.62,5.33,35.41,0.5,-1.8,-1.75,109.14,1331.1,2.58,19.94,130.5,5.4,7.54,11.88,135.88,1831.08,3.2,25.27,165.91,5.9,5.74,10.13,339.88,627.38,967.26,3.84,0.51,3.74,0.88,4.01,6.02,0.88,2.76,1.07,5.9,36.64,7.28,45.27,-0.41,4.75
115,8,"Agrsm Andge Asctu Elyca Koecr Monfi Poapr Queel Solri","34F","GF",-3.32,250.98,-0.13,-2.58,11.17,-0.1,-4.73,0.54,120.36,1143.66,2.82,24.26,111.72,5.9,12.05,6.86,117.04,1394.64,2.69,21.68,122.89,5.8,7.32,7.4,139.54,875.05,1014.58,0.95,0.25,1.19,0.28,0.92,4.9,1.05,2.63,1.14,3.68,1.28,-1.16,17.02,-3.43,4.36
